id,name,categories,stars,latitude,longitude,full_address,price,reservation,hours_Monday_open,hours_Monday_close,hours_Tuesday_open,hours_Tuesday_close,hours_Wednesday_open,hours_Wednesday_close,hours_Thursday_open,hours_Thursday_close,hours_Friday_open,hours_Friday_close,hours_Saturday_open,hours_Saturday_close,hours_Sunday_open,hours_Sunday_close,parking,wifi,alpha_rating,rid,text
UTQRh_HcacACelWiickUfA,Buck & Rider,Seafood|American (Traditional)|Restaurants,4.0,33.509198,-111.988715,"4225 E. Camelback Road
Phoenix, AZ 85018",3,No,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,11:00,00:00,11:00,00:00,11:00,22:00,No,No,5,QTB_KpJt6t5FouJGpNtOKw,"LGO Hospitality does it again... 
I couldn't wait to try Buck & Rider, and now that I have, I can't wait to return!  This hot new seafood centric restaurant has only been open for a week, but you wouldn't know it based on our experience.

My husband and I enjoyed an early dinner date night at newly opened B&R tonight and had a fun and memorable meal.  It's group service, but Mia was our main server and did a fabulous job!  

We enjoyed sharing the following:
-a half dozen oysters
-snapper ceviche
-lobster roll
-calamari

It was all fresh and delicious, and paired perfectly with the glass of wine (Domaine Serge Les Boursicote Sancerre) I selected.  It's worth noting that they also offer a solid cocktail list for all of you cocktail connoseiurs ;)

We sat inside but right on the border of the outdoor patio... We enjoyed an almost perfect view of Camelback mountain.  I say ""almost perfect"" as there is also a view of a Jack in the Box sign that gets in the way ;)

The bathrooms are spacious, clean, and classy, as is the architecture of the restaurant; all fitting of the inspiration behind the space; a house located in a swanky beach town on the Australian coast.

In addition to complimentary valet, B&R offers patrons LGO's signature sea salt chocolate chip cookies on your way out... it is the perfect sweet ending to your meal.  

For now B&R is open for dinner only, 6 days a week (closed Monday).  I hope they will extend their hours into lunch soon.  This is definitely a welcome addition to the 'hood!"
358EZJ3WFHId1_ZClU4zDQ,Seed Cafe,Food|Juice Bars & Smoothies|Restaurants|Cafes,4.5,33.495495,-111.9995627,"3802 E Indian School Rd
Phoenix, AZ 85018",2,No,06:00,21:00,06:00,21:00,06:00,21:00,06:00,21:00,06:00,21:00,07:00,14:00,07:00,14:00,Yes,Yes,5,phACD2Li1ia_TKnDSOsixQ,"o.b.s.e.s.s.e.d.

Yes, that's right... s.e.e.d. is my new obsession... I cannot get enough of their fresh squeezed juices, healthy snacks, salads and sandwiches.

I've lost count of the number of times I've visited, but it's definitely more than I can count on my fingers and toes, and I've always walked away a happy customer.  

Over the weekend, I had a big birthday celebration and invited some friends to celebrate with me at the Madison Improvement Club.  We did a #partyonabike (spin) class with Brittny, a private flow yoga class with Beri, and had lunch catered by s.e.e.d right on the patio.  It was perfect in every way!

I worked with Carly to plan it and she was OMazing... we ended up with the following menu for my group:

*1 hummus platter
*1 skinny dipping platter 
*1 Jaqlyn Salad 
*1 Kale 'em with Kindness Salad
*1 Santa Maria Platter (wrap style)
*1 Tune Up Platter (wrap style)
*1 What She's Having Platter (wrap style)

We also had juice shots (The Walk, Conquer the World, Zinger).  

Every single person I spoke to raved about the food, and I loved it so much, I ate leftovers for dinner... on my birthday!

If I could give Carly, Jaqlyn, and Chef Joe more than 5 stars, I would... Thank you for making me the most perfect birthday lunch, and you can bet you'll see me back at s.e.e.d. again real soon!"
Xk3inJcuBGLhavUcdlINZA,Crudo,Bars|Restaurants|American (Traditional)|Nightlife|Italian,4.5,33.4946342,-112.0036064,"3603 E Indian School Rd
Ste B
Phoenix, AZ 85018",3,Yes,,,17:00,22:00,17:00,22:00,17:00,22:00,17:00,22:00,17:00,22:00,10:00,14:00,Yes,No,5,YjTtIa6I9VRgTeKTeBLb4Q,"Crudo is the definition of a hidden gem.  This incredible bar/restaurant is literally hiding in the back of a shopping center, but easy to find once you know where to look... and for those that find it, you'll likely feel like you hit the jackpot!

Chef Cullen Campbell is known internationally and for good reason.  His creative menus along with cocktail creations from mixologist bartender Micah Olson are the talk of the Valley.  Now that I've been, I can say with confidence, that the Crudo experience exceeds expectations.  These local celebrities, along with Maureen McGrath Campbell (Chef's Wife) who runs the front of the house with ease, and the rest of the Crudo team have done a fabulous job with the space they are in.  I dined with a large group at Crudo last night and they took amazing care of us.  We had a cocktail paired dinner with three courses:

1st Course was Albacore Crudo with Green Apples, Black Garlic and Truffle Oil
*paired with Hophead Vodka, Damrack Gin, Celery Juice, Lime and Pierre Ferrand Dry Curacao

2nd Course was Burrata with Marinated Tomatoes, Pimentos, and Garlic
*paired with Maison Rouge VS Cognac, Cocchi Vermouth di Torino, Cardamaro Amaro, Grapefruit, Lemon, Luxardo Maraschino

3rd Course was Beef Brisket with Pork Sugo, Fonduta and Creamy Polenta
*paired with Buffalo Trace bourbon, Cointreau, Reagan's Orange Bitters, Sweet Vermouth

All of the courses were divine - I couldn't pick a favorite when asked because I loved them all!  The first cocktail was my favorite.

The atmosphere is welcoming and the space is gorgeous.  The staff is extremely attentive without being annoying: spot-on all around.  They also did a really wonderful job catering to the dietary restrictions that certain members of our group had.  We sat on the restaurant side, but the bar was pretty happening for a Wednesday night.

I cannot believe it took me so long to get to Crudo, but it's definitely going to be a ""go-to"" moving forward.  If you're considering going, make a reservation asap and enjoy!"
TSg3URWOZ_I8vZGajxQ_6g,The Gladly,American (New)|Restaurants,4.5,33.5089836,-112.0339775,"2201 E Camelback Rd
Ste 106
Phoenix, AZ 85016",2,Yes,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,23:00,15:00,23:00,09:00,22:00,Yes,Yes,5,LnkyqAe0PeB4EbiYhQXOCg,"I am gladly giving five stars for Chef Bernie Kantak's brand new restaurant located on the Camelback Corridor in the old Ruth's Chris location... I don't get out quite as often as I used to now that I have two little ones at home, so when I do get out, I like to try new places.  Such was the case this past Sunday when my mother-in-law offered to babysit so we could have a date night of sorts.

Jared and I ended up at The Gladly for a very memorable meal.  Since it was a spontaneous date, we arrived here without realizing that it was Arizona Restaurant Week, but that being said, we received even more bang for our buck!  

We were super impressed with the remodel of the restaurant... it's got a great modern atmosphere with a fabulous looking bar, an elevated semi-private dining room and a more secluded banquet room in the works.  There will also be patio seating we were told.

Nathan was our server and he was friendly and attentive, as was the rest of the staff.  But the food was what really shined for us... Be forewarned, what comes next in this review is A WHOLE LOT of food.  We ate most of it too!  

Chef Bernie told us that ""people go bananas for the pate,"" and he was right... we dug in so quickly when it arrived to our table, that I forgot to snap a picture, but the presentation was beautiful.  It's served with toast, pickled onions, mustard and capers and the pate itself is in a small mason jar.  Next up, we had an order of the lamb riblettes.  I think these were the highlight for me... seriously amazing.  I'm still thinking about them several days later!  For our salad course, Jared went with the famous ""Original Chopped Salad,"" and I decided to mix it up and try the Roasted Cauliflower Caesar.  I believe both were smaller portions for the restaurant week menu, but they were still plenty big for us and we were happy with our respective choices - both fresh and tasty.  By this point, I was pretty full, but I made room for the additional side we ordered of brussels sprouts and grits.  Mmmmm!  My entree was the only thing that wasn't amazing.  I had the yellowtail and it was overcooked.  I probably would have sent it back, but I was too stuffed by this point.  Jared had the scallop entree and cleaned his plate!  Dessert offerings on the restaurant week menu were peach cornmeal cobbler and buttermilk bread pudding.  We ordered one of each and ended on a sweet note.

Just like sister restaurant Citizen Public House, Chef Bernie partnered with Andrew and Richie on The Gladly, and it appears they've done it again... another fabulous restaurant has been added to the Valley dining scene.  We can't wait to return.  I suggest you go as well; you'll be GLAD you did!"
uMxfxbqT27XDeU9UTXeErg,Bootleggers Modern American Smokehouse,Bars|American (Traditional)|Nightlife|Barbeque|Restaurants,4.0,33.581757,-112.008454,"3375 E Shea Blvd
Phoenix, AZ 85028",2,Yes,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,Yes,No,5,x6gxrz8Hh3SwxFLlBgeRbA,"In the spirit of Independence Day (which was yesterday), I'm writing this review about my new favorite good ol' American restaurant in the Valley...

I've been to this hidden gem twice so far and despite it being a tad bit out of my normal 2 mile radius, I'm sure I'll head back again soon.  I love that Bootleggers offers a very diverse menu.  When I went for lunch, I was wanting to be healthy and I ordered a kale salad with salmon.  The portion was huge, filling, and delicious.  The salmon was cooked to perfection.  In addition, there's a secret crunchy ingredient in it which I love - you'll have to go try it for yourself to see what it is!  

The next time I went was a few nights ago... it was date night and my husband and I decided to splurge and order from the not so healthy options on the menu: chicken wings (we went spicy on the wings, but there are several flavors to choose from), brisket nachos, and a burger.  We ran into some friends there that joined us and wanted to share, so we added two kale salads and a side of asparagus to get our veggies in!  It was all so good that we ate almost every last morsel between the four of us.  We washed it all down with a few beers.

I like the recently renovated prohibition ambiance.  (Ask about the wood used throughout the restaurant and the windows on the wall, which have quite a bit of history behind them).  Bootleggers also has friendly service from the hostesses and the wait staff. (Alex was my server both visits).  It was a tad bit slower when we were in for dinner, but it was also packed that night.  And finally, while I'm not a moonshine drinker, those that are will be happy to know that there is plenty of it to choose from!"
SDwYQ6eSu1htn8vHWv128g,Postino Arcadia,Bars|Breakfast & Brunch|Wine Bars|Nightlife|Italian|Restaurants,4.5,33.5021111,-111.9963386,"3939 E Campbell Ave
Phoenix, AZ 85018",2,Yes,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,11:00,00:00,09:00,00:00,09:00,22:00,No,Yes,5,3ZvpBg5z-uMRNmgXArSLZw,"I'm on a huge Postino kick lately and had another awesome dinner there last night with five girlfriends.  Since my last review of this place was in 2008, I figured it was time for an update, but honestly, not too much has changed since then - I'm a very loyal customer and have been for years!

My favorite menu items are still the same too:
The artichoke dip (which actually comes with hummus too but I always special request double artichoke instead because I love it so much), the mixed green salad with added turkey, chicken, or prosciutto, and the bruschetta board... My top two bruschetta faves are Brie & Apple with Fig Spread and Prosciutto, Fig & Mascarpone. Mmmmm!

I'm not currently drinking (I'm prego again), but of course this is the perfect place to go for a glass of wine or four as well!  

Service is always fabulous and the atmosphere rocks too.  So in my eyes, this place deserves five stars... even almost five years from my original review!

Of course, it is worth noting that it's not only a favorite of mine, there are plenty of others that love it too... so, sometimes you may have to wait a bit.  If you've got a large party (eight or more), I highly recommend making a reservation ahead of time."
-AAig9FG0s8gYE4f8GfowQ,Pane Bianco,Pizza|Italian|Sandwiches|Restaurants,4.0,33.5006213,-112.0743113,"4404 N Central Ave
Phoenix, AZ 85012",2,Yes,16:00,20:00,16:00,20:00,16:00,20:00,16:00,20:00,16:00,21:00,16:00,21:00,11:00,15:00,Yes,Yes,5,08FS9kNHYN0eksRoyDTfRg,"Love is in the air... yes, Valentines Day is around the corner, but the love is really about the spontaneous lunch date I had the other day at Pane Bianco.

For those wondering, my date was with my husband.  We left the baby at home (with a babysitter of course), and went out for a few hours to enjoy the beautiful weather.  After a stop at the Downtown Phoenix Public Market, we were both hungry and finally agreed to head to PB.  I hate to admit this, but it was my first time there... I had high expectations and PB delivered!  

We sat outside on the picnic tables instead of taking advantage of the full service inside.  We shared a tomato mozzarella sandwich and a tuna salad.  Both were delicious!  Melt in your mouth delicious!  We also brought home their market sandwich for our babysitter (aka my mother-in-law).  It was a vegetable sandwich which she said was delicious.

I'd heard the menu was limited, which it was, but there was still plenty to choose from.  I can't wait to return for lunch or dinner... and perhaps to take advantage of their private little room in back.  Anyone up for a little dinner party at Pane Bianco?!"
qjmCVYkwP-HDa35jwYucbQ,True Food Kitchen,Vegetarian|American (New)|Vegan|Restaurants,4.0,33.5103141467643,-112.027686897623,"2502 E Camelback Rd
Phoenix, AZ 85016",2,Yes,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,22:00,10:00,22:00,10:00,21:00,Yes,No,5,k4tKUbasz-RTBzr_kdPBNQ,"Smoothies and Omelets and Johnny Cakes Oh My!

True Food Kitchen is by far one of my favorite spots in the Valley, and definitely my favorite Fox concept.  I was a huge fan before, but now with the addition of breakfast on the menu, I could eat at TFK for every meal and never get bored... 

While I have my favorite menu items for each meal, I do mix it up now and again.  However,  do not - I repeat, do not go to TFK for breakfast unless you are going to get at least one order of the Quinoa Blueberry Johnny Cakes for the table.  Served with pure maple syrup and Greek yogurt, this dish is a godsend from heaven!  

And while I'm here updating my original TFK review, I have to add that service is always fabulous.  Damon has a special place in my heart as he was my first ever server, and continues to be friendly and attentive when I get seated in his section, but I've had numerous other servers, and they've all been awesome.  I hope that the new Scottsdale Quarter location will be just as successful as this one.

Until next time, TFK - see you soon!"
LzpR_jE6VIutJ08s2cdRrw,Coup Des Tartes,French|Restaurants,4.0,33.504777,-112.047846,"4626 N 16th St
Phoenix, AZ 85016",3,Yes,,,17:00,21:30,17:00,21:30,17:00,21:30,17:00,21:30,17:00,21:30,,,Yes,Yes,5,IK-dUpamKkn3TM98LUno-A,"My parents were in town a few weeks ago, and when my parents are in town, we like to take them to restaurants that they've never been to before.  My dad appreciates good food, and we had a feeling he'd like Coup Des Tartes, so that's where we found ourselves on that particular Saturday night.

We brought the wine (a bottle of red and a bottle of white) and my parents picked up the tab... such a deal!  We were seated in the back room - one I'd never even seen before... there was just our table and three other tables in the little room.  I convinced my mom to share the signature salad with me to start... and although Jared asked my dad to share the onion tart as an appetizer, my dad insisted on ordering his own.  (It worked out though, so I was able to take a few bites of the tart too).  For our meals, my mom and Jared went with the chicken, I had the salmon, and my dad went for the steak.  My fish was cooked just perfectly and served with an amazing butternut squash risotto and some green beans too.  Everyone enjoyed their meals and despite the fact that we were all pretty full, we went ahead and ordered the mixed berry tart with four forks for dessert.  We cleaned that plate too.

Needless to say, we were right about my dad enjoying his meal at Coup Des Tartes.  We've always had great meals at Coup Des Tartes and we're sure to be back again real soon."
b7GM0x9zZU5gq1aXErUf7Q,Julia Baker Confections,Bakeries|Food|Cafes|Chocolatiers & Shops|Specialty Food|Restaurants,4.5,33.5082687981416,-112.031715645508,"Biltmore Fashion Park
2502 E Camelback, Ste 130
Phoenix, AZ 85016",2,Yes,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,21:00,10:00,21:00,12:00,18:00,Yes,Yes,5,jvkDpYQmt52BWsyPvDqe7Q,"Today I had an appointment for a ""cake tasting"" (for the wedding) with Julia Baker Confections.  I had no expectations going in and didn't really think too much about a cake at all prior to today.  I didn't do any research, I just went with the flow.  Jared opted not to participate, so it was just me, my mom, and our wedding planner.  

I was super impressed from the moment i set foot in Julia's office.  Not only did Julia herself greet us at the door, but the cakes on display were like pieces of art!  I learned about her business as I admired the cake creations and luxury chocolates that surrounded me.  Not only was everything incredibly breathtaking to look at, but I didn't take one bite of anything that I didn't absolutely love!

(Yes - the wedding diet was on hiatus during my visit with Julia today!)

I sampled the passion fruit chocolate and it was amazing.  My mom commented that the caramel truffle she chose was like an orgasm in her mouth!  Then it was on to the cakes: we had the white traditional cake with raspberry gelee and swiss meringue buttercream filling and american buttercream frosting, the chocolate cake with chocolate ganache filling and chocolate ganache frosting, and the red velvet cake with sweet cream cheese filling and american buttercream frosting.  OMG - divine!  All of it! (And I don't even consider myself a 'cake person.')

I won't say which one my favorite was but I will say that Jared loved the same one I did when I brought him samples later in the day.  Our guests are in for a real treat...

Since our meeting, I did some research only to learn that Julia's sweet creations have garnered her notoriety as the ""Chocolatier to the Stars"" and singer/songwriter Alicia Keys has called Julia ""breathtakingly talented."" Among the many celebrities Julia has made chocolates for are Bono & U2, Paris Hilton, Jennifer Aniston, and Britney Spears.  None of this surprises me, other than not understanding how Julia keeps her girlish figure while she's surrounded by sugar and amazing fresh ingredients 24/7!

I am so excited for Julia to create our wedding cake!  If you're looking for a custom creation made with passion, check out Julia Baker Confections."
