id,name,categories,stars,latitude,longitude,full_address,price,reservation,hours_Monday_open,hours_Monday_close,hours_Tuesday_open,hours_Tuesday_close,hours_Wednesday_open,hours_Wednesday_close,hours_Thursday_open,hours_Thursday_close,hours_Friday_open,hours_Friday_close,hours_Saturday_open,hours_Saturday_close,hours_Sunday_open,hours_Sunday_close,parking,wifi,alpha_rating,rid,text
PliQ_Y53DddAj9k3mcT61g,Benny Pennello's,Italian|Fast Food|Pizza|Restaurants,4.5,35.245547,-80.809477,"2909 N Davidson St
Ste 100
NoDa
Charlotte, NC 28205",1,No,11:00,00:00,11:00,00:00,11:00,00:00,11:00,02:00,11:00,03:00,11:00,03:00,11:00,00:00,Yes,Yes,5,gJK1UnQqy1CzDaMtgLlnbA,"""Pizza the size of my infant son!""


-Me, upon my first visit

I highly recommend taking advantage of the monthly specials. Most of the time, the flavors are rather adventurous and tend to offer quite a range of flavor for a pizza. Also, the beer selection is worthy of being paired with some good pizza."
skZlWeK3P63VtlXXAcQ9KA,The Pizza Peel- Central,Pizza|Restaurants,3.5,35.220076,-80.8119934,"1600 Central Ave
Plaza Midwood
Charlotte, NC 28205",2,Yes,11:00,00:00,11:00,00:00,11:00,00:00,11:00,00:00,11:00,02:00,11:00,02:00,11:00,00:00,Yes,Yes,5,5aZn8Dla0Uk6e87Ne4N5Gg,"Always been a huge fan of The Pizza Peel and was lucky enough to check out the new spot in Plaza upon a recent weekend visit. It's the same as the good ol' original in Cotswold, but with a slightly different interior layout and a much more awesome patio. 

Same great beer selection, amazing fish tacos (of which I will argue are the best in town), and that killer Secret Pizza Menu. Definitely worth a gander if you've never had a chance to do so. 

The factor that makes me want this location in the ATL is the disc golf basket out front. Not only is it a perfect distraction for the kids to go out and play, but it's a great way to kill some time al fresco with a beer in hand. Really love what they've done with this spot. A definite plus to the choices in Plaza."
uq_cgrcgLzDN6NbVWXHHgw,JJ's Red Hots - Ballantyne,Hot Dogs|American (New)|Sandwiches|Restaurants,4.0,35.0531562,-80.8471264,"15105 John J Delaney Dr
Ste J
Ballantyne
Charlotte, NC 28277",1,Yes,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,20:00,Yes,Yes,5,T7j7Eh0jttrX27MA-xd-kA,"I've been a longstanding fan of the East Blvd location...since the day they opened....and before. Happy to report it's the same, kick-ass menu with a bit of a different backdrop and layout. It's really cool to see this young concept spreading their wings to the ol' land of Ballantyne and they've carved out a nice piece of the adjacent shopping/eating center to Ballantyne Village. 

It's nice. Like.....really nice. For the concept, I can't think of any other branding that has as much attention to detail as these guys. The place is just pretty and easy on the eyes. The aft entrance is so slick with all of the different kinds of signs and angles. A brand/company that adjusts their look slightly based on the location typically has a good eye for their customer base. Good show, ladies and gents. 

We got our most recent meal to go and it was my first time doing so. It was such a stellar experience. My wife called in our order, for 6 hungry mouths mind you, and they gave us pickup time of 15 minutes. We arrived almost exactly 15 minutes later and there our food was in one bag. Done. 

Glad to see these guys in the Ballantyne area and doing what they do best -- Hot Dogs."
dLcGMPuojXYjfbkgrEgO7g,Brooks Sandwich House,Burgers|Sandwiches|Restaurants,4.5,35.2452756,-80.8114941,"2710 N Brevard St
NoDa
Charlotte, NC 28205",1,No,07:30,14:00,07:30,14:00,07:30,14:00,07:30,14:00,07:30,14:00,,,,,Yes,No,5,Xwjjqq78Skh3n8QZSkWq-w,"Brooks Sandwich House. You can throw all of the expected dopey descriptors in their direction, should you feel so equipped to do so -- ""A true, American classic!"" ""The BEST burger in all of Charlotte!"" ""A real staple, by golly!"" ......whatever. Pick your favorite. 

My take? It's the shining star in a sea of dying breeds for truckers, blue collar, and white collar alike. It's the kind of place, on the local level, that you want to have memories of. You need to experience a burger wrapped in paper and eaten at the dirty, standing room-only, picnic tables. You need to experience the ""line"" during the lunch rush. It's a timeless favorite. 

Would you know about Brooks from reading some hip, haute cuisine magazine? Absolutely not. You're either going to stumble across the reviews and hear about how it's a stellar burger stop with great fries or your friend's grandma's church member's daughter used to go when she was a kid and you have to try it. 

It's a dive and it's utterly perfect. My only regret is that I didn't get my burger all-the-way -- chili, onions, and mustard. That sounds like heaven. 

Do yourself and everyone else a favor and go have your own experience at Brooks."
Z0fLf1PQ1-KuF2Bb2vG-Aw,Bahn Thai,Thai|Sushi Bars|Restaurants,4.0,35.0708159675029,-80.8440170064569,"12206 Copper Way
Ste 122
Ballantyne
Charlotte, NC 28277",2,Yes,17:00,21:30,17:00,21:30,17:00,21:30,17:00,21:30,17:00,21:30,12:00,21:30,,,No,Yes,5,ptYfBrYej1bqzoUeHs4gJw,"I wasn't expecting such a great experience for a Thai Place in Ballantyne, but I am happy to report a fantastic experience with hopes of visiting again really, really soon. We came in for an early-ish dinner on a Friday evening. 

The place is really clean and has great attention to detail. Plenty of tables, booths, and ample seating at the (sushi) bar. We grabbed a booth and our server promptly took our order(s). 

We forwent apps and went straight to entrees paired with a few Sing Ha beers. Ordered the Pud See Ew, #2 spicy, and chicken. It was fantastic. Those wide noodles are executed so perfectly and retain such a unique and smoky flavor. The #2 level of spice was enjoyable and served up a balanced twinge of heat throughout. About the same as a moderate helping of Sriracha. 

My wife ordered a veggie dish with the same wide noodles. Can't remember the name, but the flavor was so peppery. I'd order that myself. 

Our server is was really rounded out our experience. She was so, so, so friendly and explained the menu thoroughly. 

5 solid stars for this Thai joint. I'd head back in a heartbeat. Only wish it wasn't all the way down in Ballantyneland."
BW52sBPn1Hbeh3LPsGLFtA,Sabor Latin Street Grill,Latin American|Mexican|Restaurants,4.0,35.2162131,-80.8216897,"415 Hawthorne Ln
Elizabeth
Charlotte, NC 28204",1,No,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,Yes,No,5,AAZ5tBMgL8ANRY8agga8Hg,"The dudes from Three Amigos have once again stepped up their game and brought some killer food to the QC. This time, the focus is on traditional Mexican street eats and the fare is on the rise to becoming a more-than-regular spot for us. 

Came in on a Saturday before noon. The space is still being outfitted and decorated, so it has a bit of a feel leftover from the previous biz. I couldn't care less. The magic happens behind the counter and in the kitchen. 

The high notes:

Pupusas -- If you've never tried a pupusa, you're missing out. Thick, fried dough, veggies, cheese, and pressed flat. Incredible. It may look small, but don't be fooled. It's filling. 

Arepas. Filled with shredded chicken and some of the tastiest veggies I've had in a long time. The chicken had a flavor that was mild, yet pungent. The juices that came from the chicken, which I'm assuming was made in a pressure cooker, permeated the bread and almost made into two separate items. It didn't last long on my plate. 

Empanada. The crispy dough filled with even more cheese and veggies was equally amazing. Textbook execution. 

Tacos Autenticas. Perfect. Chicken, white onion, cliantro. That's all, that's all you need. Perfection. 

Guac. What else do you need to know? It's GUAC. I'd eat it every day of my life. The chips are seasoned, too, which is a nice touch. 

Welcome to the neighborhood, Sabor. I'm excited to see how it builds out and becomes more of an Elizabeth staple. I'll be back soon. Next time: Burrito."
OopcnYw8obDsJc_do6vZOQ,Cast Iron Waffles,Food|Coffee & Tea|Breakfast & Brunch|Restaurants,3.5,35.152852,-80.840464,"4620 Piedmont Row Dr
Ste 100
South Park
Charlotte, NC 28210",1,No,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,08:00,19:00,08:00,19:00,No,Yes,5,Pd19I_tZkbQ9STa1GKo1vg,"Ok, so transpose everything I've ever said about Cast Iron Waffles and move it about 10 minutes from where I live. BOOM. Now, my favorite waffles in town are holdin' steady in South Park and boy, oh boy, does that make me one happy camper. 

Same old liege-style waffles, happy staff, hotter than lava and delicious coffee. So, so, so, so happy to see these guys expanding the brand throughout Charlotte. 

If you haven't experienced these waffles, make a trip. Hell, make two trips. I love that they have the bottled cokes made with real sugar. One of my go-tos if I'm not in the mood for coffee. If you're planning your maiden voyage for CIW, go for the naked variety. It'll give you a good idea of how to build on the basic waffle.

This location is located right next to George's in Piedmont Row. Parking in the garages or on the street. There is a bit more space than the location in Blakeney. Enough room to do a victory dance after enjoying a waffle, no doubt. 

Welcome, welcome, welcome to the neighborhood, guys! SO THRILLED to see you in South Park!"
DO3XP1OOGqaGycUcSdtZ6w,Local Loaf: Bakery & Restaurant,Bakeries|Food|Breakfast & Brunch|Delis|Restaurants,4.0,35.2277626,-80.8379816,"7th Street Public Market
224 E 7th St
First Ward
Charlotte, NC 28202",1,No,07:00,16:00,07:00,16:00,07:00,16:00,07:00,16:00,07:00,16:00,08:30,16:00,08:30,16:00,Yes,Yes,5,tK0BEcFdUHj7Q4Vvl2ygGA,"Local ingredients. When I say local, I don't just mean local to Charlotte or the surrounding areas, I mean local to the 7th Street Public Market. These guys are using tons of products directly within the market and using them rather well. Coffee from Not Just Coffee, salt(s) from Salts of the Earth, produce from the market, and so on. It's the market's little microcosm of local perfection. 

Hailing from a history of bread baking and jiving with freshly baked bread of any sort, this is the holy grail of local purveyors for yours truly. I love bread. I'll say it again -- I love bread. Wait....Let me reiterate that -- I LOVE BREAD. Adam, owner/Chef, makes some killer breads. Namely, the Pecorino Romano blows my mind every time. We've taken home a few loaves, I've had it on the Cuban sandwich, and we've even paired it with some chili at home. Stellar execution on that recipe. 

Now serving breakfast and lunch -- the menu is tremendous. Can't speak too much to the breakfast items, but lunch is wondrously perfect. I've had the Cuban and the veggie sandwich. The Cuban is heavy, packed with tons of great stuff. Love the pulled pork and the lighter pickles. The mustard concoction is so complex and makes for a flavor dynamic that keeps your palate on the edge of your seat. Served on the Pecorino Romano alongside the clam chowder -- winner. I loved every bit of it and it was a great lunch. The veggie was equally legendary. Whatever that corn spread is brought tears of joy to my eyes. 

Also love the cooler packed with fun bottled sodas -- Sunkist, root beer, Cheerwine, and others. 

Focus: Bread, bread, bread. There is so much love, thought, and expertise put into every loaf. Do yourself a favor and pick one up next time you're at the market."
nDMqBGHBmdjHapvtjBtkwg,JJ's Red Hots,Vegetarian|Hot Dogs|American (Traditional)|Restaurants,4.0,35.1997979674133,-80.8422946929932,"1514 East Blvd
Dilworth
Charlotte, NC 28203",1,Yes,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,Yes,Yes,5,GeERJ0tEEuZ_mqIrhm2A5A,"Ok. After trying several rounds of the ""Dog of the Week,"" I'll sell my soul for another one of them. The varieties that came out of the minds of local beer aficionados like Chris from Good Bottle, Jason from Salud, and dudes from OMB, Birdsong, or Daniel from CharlotteBeer, I'm hooked. It's what I look forward to the most upon each visit. 

Recently, I checked out the dog with peanut butter, sriracha, and bacon. Ummm....yeah. I almost lost my mind it was so good. Anything that even slightly breathes that side of Thai/Vietnamese flavor. 

Also, summertime calls for a nice, tall orangeade. The Arnold Palmer variety is rather refreshing, too. Not too sweet and ever-so perky. 

Winner, winner!"
_LYz2vdGyXsV-8b-_T47ag,Le's Sandwiches & Cafe,Vietnamese|Sandwiches|Restaurants,4.5,35.255999650747,-80.7919809219741,"4520 N Tryon St
NoDa
Charlotte, NC 28213",1,No,09:00,18:00,09:00,18:00,,,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,Yes,No,5,8gT5oaEQJcn7tDLDJGWfIQ,"Equal parts adventure, experience, culinary safari, near scrapes with overtly life-threatening conditions for any vehicle, and personality. Goodness gracious. I've loved Banh Mi for years, but Le's has sparked a fire-y passion in my little Vietnamese cuisine-loving heart. 

Made it in on a Sunday afternoon, it was packed, and we were amongst tons of regulars. It was a great. My being green around the gills was easy to spot all the way from the cratered parking lot. 

Follow instructions on every other review you'll read here. Asian Corner, walk down the (awesomely dirty and strongly loved) hallway, hang a right, and get ready for a sandwich worth it's weight in gold. 

Now, there are tons of options. I wanted to swing for a grand slam of ""Wow! I've never even heard of that!"" but decided not to vie with au originale. #6 on a long baguette, please. It was....so good it rendered me speechless and with a face full of fantastically balanced Banh Mi. The bread.....my dear, sweet....it was perfect. So crunchycrispy, soft interior, slight chew. What kind of delicious sorcery made this bread?!?! Just absolutely perfect. The veggie combo -- standard pickle-y carrots, onions, and jalapenos. The pork. I've been missing out on this the entire time I've lived in Charlotte until now. One bite and you'll be a believer. (I've been told to call an audible and add paté to the #6. Next time: Done.) Oh, and much like the aforementioned, suckers are like $3 a pop. 

I'm a believer. Addict. Cheerleader. Wondrously and deliriously complete now that I've experienced Le's. If you're reading this, Owner/Management/Sandwich Artist, please accept my humble Thank You for all that you do."
