id,name,categories,stars,latitude,longitude,full_address,price,reservation,hours_Monday_open,hours_Monday_close,hours_Tuesday_open,hours_Tuesday_close,hours_Wednesday_open,hours_Wednesday_close,hours_Thursday_open,hours_Thursday_close,hours_Friday_open,hours_Friday_close,hours_Saturday_open,hours_Saturday_close,hours_Sunday_open,hours_Sunday_close,parking,wifi,alpha_rating,rid,text
LLDGTT7FExklkQvHebEjRg,Joe's Seafood Prime Steak & Stone Crab,Seafood|Steakhouses|Restaurants,4.5,36.1174528,-115.1766881,"The Forum Shop at Caesars Palace
3500 Las Vegas Blvd S, Ste R-05
The Strip
Las Vegas, NV 89109",3,Yes,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,23:00,11:30,23:00,11:30,22:00,No,No,5,O8Py8zbswZytwAPOa4cBHw,"President Obama, 

With all the ridiculous ""National ____ Days"" dedicated to superfluous foods like cheese doodles (March 5th) and stupid specific eats like cherry popsicles (August 26th), it's about time you stepped in and made executive decisions on something that is clearly getting out of hand.  Who the hell is rejoicing over a cheese doodle that isn't still living in their parents basement playing N64?  What if I choose to have a blue flavored popsicle on 8/26?  Will Destiny's Child come out of nowhere and start singing ""No, No, No""? 

October 15th is WIDE OPEN.  It's the officially the first day of Florida stone crab season!  I am sure you have sampled these incredible claws at a fancy dinner or two during your tenure as the leader of the free world.  You cannot deny that they are some of the most delicious crustaceans on the planet!

So in love with these claws I am, here is my proposal:

- 10/15 will be a federal holiday and be known as ""National Stone Crab Day"".  Even for vegetarians.   

- Instead of only celebrating the day with bullshit Facebook posts, I was thinking something more along the lines of New Year's Eve.  There would be fireworks, confetti, and instead of holding a glass of champagne, everyone will have a large crab claw from Joe's Seafood, Prime Steak & Stone Crab.  They will bite in it when the clock strikes midnight.  

- I've already drafted letters to several high standing Nevada officials about closing Las Vegas Boulevard that evening to throw a parade that will end at Joe's at Caesars Palace.  Judging by my persuasive and emotionally charged message, I am confident this will be granted.  

- A live televised east coast party at the original one, Joe's Stone Crab, in Miami hosted by Ryan Seacrest with Pitbull as the musical guest.

- The dip for the crab is almost equally as magnificent and should be considered for its own day.  We could go with the extremely catchy phrase: Happy National ""amazing crab dip sauce from Joe's that is pretty much crack sauce and should accompany every single bite of claw meat"" Day!  


I look forward to hearing from you soon.

Sincerely,

Philip T."
Iyy4pDmnKTZkAorzclO4Eg,Nobu,Japanese|Restaurants,4.0,36.1170344582059,-115.17751554521,"Caesars Palace Las Vegas Hotel & Casino
3570 Las Vegas Boulevard South
The Strip
Las Vegas, NV 89109",4,Yes,17:00,23:00,17:00,23:00,17:00,23:00,17:00,23:00,17:00,00:00,17:00,00:00,17:00,23:00,No,No,5,6b7LWXfkV5CdYsDV7oHoXQ,"Eating at Nobu is like breaking out an old record collection and revisiting classic tunes.  Sure, I can get dishes like yellowtail jalapeno, rock shrimp and black cod with miso anywhere now.  But there's special, fuzzy place in my heart for Nobu...it's where I lost my ""upscale sushi"" virginity all those years ago in Tribeca.  Every meal in any location has always been awesome and never has let me down.  Just like vodka!

This particular location is very pretty and the big cocoon-like booths look really cool.  Why are they still at the Hard Rock?  Does Mr. Hard Rock have nude photos of Mr. Nobu eating at Panda Express or something??   They also have the most expansive menu that I've seen from Matsuhisa-san, so branching out from the oldies but tasties was a must. 

Their version of hamachi kama was the best I've ever had.  Impressive in size, the heavy on the salt based seasoning and brick oven baked flavor was outstanding.  The yellowtail meat was so tender that it had everyone gnawing on the bones with bare hands just to get every bit.  The server almost lost a limb when he prematurely assumed we were done.  

After very little convincing, so minimal in fact that I think I exclaimed ""YES! THAT!"" while pointing at the guy as soon as he said ""chu-toro"", we got the daily special of the medium fatty tuna topped with truffle, crispy garlic and greens.  They were indeed a divine couple of bites that had me wanting more.  I love tuna more than life.  Even my car license plate says ""tuna"" in Japanese.

Nobu still delivers after all these years!"
rYXu8NasDNnLZrmHymaQWg,é by José Andrés,Spanish|Restaurants,4.5,36.1099957160496,-115.173604488373,"The Cosmopolitan of Las Vegas
3708 Las Vegas Blvd S
The Strip
Las Vegas, NV 89109",4,Yes,,,,,17:30,21:00,17:30,21:00,17:30,21:00,17:30,21:00,17:30,21:00,No,No,5,QfciGQ6XMOgIiCRrG4Mwpg,"I spent so much time with my eyes closed throughout the 21 courses in an attempt to fully savor the amazing range of flavors bestowed upon my taste buds that I probably came off looking like Stevie Wonder's mentally challenged 3rd cousin as I swayed side to side to the other diners.  Overjoooooooooyed!  

Sangria 2015: Frozen red wine accompanied by little bursts of fruit presented in a half bottle to be scooped with two little spoons.  This must be how Willy Wonka gets bombed while watching reruns of ""Friends"".  It was a terrific ""beverage"" to start the meal.    

Spanish Pizza: I love burnt cheese like nobody's business.  These geniuses of food made it the crust for heavenly bites topped with Andres' fantastic ""Jamon"" and ricotta cheese.  How much would a full on large pizza like this be?  $1000?  More?  Unreal.  What is it like to be the duke/duchess here?

Beet Gazpacho:  Appearing like a fancy French pastry sold at Jean Philippe, the intense flavor was pretty eye opening, not easy for an Asian guy :D  That they even pulled this kind of richness out of a beet, one of the most non-offensive, unassuming vegetables ever (the Greg Kinnear of veggies?) is beyond me.  The sorbet-like quality was surely a big reason. 

Iberico Chickpeas:  This gave me the satisfaction and entertainment of every Vegas show I've seen in the last year all in one bowl and in less than 5 minutes.  Through the spherification cooking technique, the garbanzo beans had an ikura quality to it where they would pop in your mouth with only slight pressure.  Mixed in with the rest of the ingredients (I may have blacked out due to culinary ecstasy when the chef explained everything), the explosion of tastes in each spoonful was otherworldly.  I was the last one to finish as I wanted to savor every bean to its maximum potential.  

""Empanada"": Foie Gras cotton candy gyoza.  Formed, pressed right before our very eyes and eaten by hand, the combination of the fatty duck liver, light candy sweetness and Corn Nuts (?!), was an incredible mix that floored me.  Sign me up for 100 of these.      

Brandida Bacalao: Salt fish chicharron topped with truffle.  The fish air foam the chef delicately placed on top of each our pieces was like a fairy godmother granting wishes.  Light, airy and amazing, this could have probably been finished in two bites.  I ate it like a rat and managed six.  Are the employee dinners anywhere close to the magnificence of this stuff?  I would wash dishes for free.

Fun, creative, and extremely delicious, I'd gladly go back in a heartbeat.  If forced to choose, I'd go with é over Joel Robuchon considering the similar price point and for overall entertainment factor, but you couldn't go wrong with either for a dinner and show all rolled up into one.  This was a fantastic meal for our 8th wedding anniversary.  We were lucky to get the reservation and our golden tickets less than 3 weeks out.  

Full Menu:

Sangria 2015
""Vidrio""
Filipino
Pillow
Dado
Beet Gazpacho
Spanish Pizza
Vermut
Cheese and nuts
Chupito
Brandida Bacalao
Iberico Chickpeas
Txipirones
Platija
Chuleta
Empanada
Santa Gadea
Menjar Blanc
After Eight Timbal
Ferrero Rocher
Yemita"
72ngj2ky908bsW9Ae40R0A,Andrea's,Bars|Asian Fusion|Nightlife|Restaurants,4.0,36.1260222005968,-115.166711077637,"3131 Las Vegas Blvd S
The Strip
Las Vegas, NV 89109",3,Yes,18:00,22:30,18:00,22:30,18:00,22:30,18:00,23:30,18:00,23:30,18:00,23:30,18:00,22:30,No,No,5,_LewI3mpKekskTWAgeXULg,"Even though I am generally reluctant to dine at any of the upscale, non sushi-centric Asian restaurants on The Strip, I usually end up leaving pretty happy with the meals.  On a recent visit for my wife's birthday dinner, Andrea's continuously hit high marks, plate after plate after plate.  Yes, it costs more than Spring Mountain, but there's a quality of ingredients here that is unparalleled to most spots a few miles southwest of Encore.  

The ambiance is really nice - the cool lighting, upscale late 70's furnishings with accompanying music that dabbled into the 80's as the night went on made me feel like this was the kind of place to pregame before going to Studio 54.  Andrea Wynn's eyes all lit up behind the bar were strangely soothing.  The 3 cucumber/gin cocktails only enhanced that effect.

With a party of 8, we opted to go omakase family style.  The waiter asked for a per person price to adhere to along with any items we were not interested in (ah-hem....$9 miso soup) and then we awaited the surprises from the kitchen.  ""Seafood on Ice"" may sound like the worst ice skating show ever (ok,ok a gigantic oyster doing a triple axle might possibly awesome), but these treasures from the ocean were excellent.  The slow poached prawns were shrimp cocktail for kings, and the initial bite of the marinated bay scallop totally wowed me with its freshness.  Crab legs, oysters, Maine lobster and tuna poke made life even better.   

The ""Steamed Sea Bass"" was exquisite.  It started tender on the outside and got tendererererererer as you got to the center.  The ginger, garlic, mushroom, lemon and cilantro made for a simple but divine combination for such a fantastic cut of fish.  I bet Roger Federerererererer would like this.  Everything else was very enjoyable including the tuna+crispy rice, rock shrimp tempura, hamachi sashimi, sliced prime New York strip, adobo crab fried rice, and the Saikyo miso black cod among other items.   

It was impossible to say no to the Mt Fuji dessert.  I mean....how do you NOT take photos and videos of this behemoth of sugar as they pour the Bacardi 151 and set it on fire???  I found it to be a bit too alcohol-y for my taste, but totally worth the ""show"" factor.  It was a great ending to the meal.  Color me reluctant no more!"
XeNkjZn6Uv8SeYOXKNqAEw,Other Mama,Bars|Seafood|Sushi Bars|Cocktail Bars|Nightlife|Restaurants,4.5,36.1229130300724,-115.279936976731,"3655 S Durango
Unit 6
Spring Valley
Las Vegas, NV 89147",2,Yes,17:00,23:00,,,17:00,23:00,17:00,23:00,17:00,23:00,17:00,23:00,17:00,23:00,Yes,No,5,3UVuB9AY3fXd5CP98hZ1XA,"I wanted to order the whole damn menu!  ""We'll have the second page and everything listed on the board, please."" is what I really, really, really wanted to say.  

Logical heads prevailed and our party of 4 was still able to sample quite a bit.  Oysters were mandatory and a great way to start the meal.  They featured 3 types (Fanny Bay, Bluepoint. Skookum) and while I could only tell which was which based on shell, they all went down the same way, deliciously.  The pickled peppers/habanero and wasabi cocktail sauces were my favorites.  Most spots only offer $1-$2 oysters for happy hour, but just like Lionel Richie, these guys are doing it ""All Night Long"", one of many reasons to be a repeat customer.   

The ""Caviar & French Toast"" with the crème fraiche was a nice little curveball to the palette.  The toast's warm, buttery softness went nicely with the rest and we even got more of it just to finish the order.  Other standouts were the ""Grilled Shrimp Salad"" with its excellent dressing and soba noodles, and the ""White Fish Ceviche"", which I was selfishly eating straight out of the jar by the end.  

A little piece of seafood heaven on the westside for sure.  I could envision myself overlooking the beach while eating their delectable ocean treats.  Luckily for everyone in Vegas, Other Mama is here, and hopefully will be for a long time."
vDEC5kHgtjkqyuZAZrSuMA,Pho Annie,Vietnamese|Restaurants,4.0,36.0360324,-115.2430194,"8390 S Rainbow Blvd
Southwest
Las Vegas, NV 89139",1,No,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,Yes,No,5,rSzIYPCO5FXYAJ-1to9zVA,"For future visits, I will only be about the ""Chicken Curry Noodle Soup"" (CCNS).  I tried being a good husband and getting other items for variety's sake on past visits; it's my wife's favorite as well...that's over now.  

The CCNS consists of a thick, rich, hearty broth that touches my soul like Louis Armstrong singing ""What a Wonderful World"".  It's easy to taste upon the first spoonful of this glorious curryness that it's not something that can just be whipped up.  Those chickens have been simmering in broth for hours, if not days.  The generous amount of meat in the bowl makes me love it even more.  

Not that there's anything wrong with their rare beef pho or those meat entrees where the grains of rice looks all cute and snuggled up under the canopy of a perfectly fried egg, but that's all vice president/runner up type stuff.  Next time I order, I plan on just saying ""Call me Obama and bring me that fucking awesome stuff in a bowl."""
jYienP7gRebjRXlwqhAC7Q,Japaneiro Asian Infusion,Asian Fusion|Japanese|French|Restaurants,4.5,36.0552046,-115.2509345,"7315 W Warm Springs Rd
Ste 170
Southwest
Las Vegas, NV 89113",2,Yes,16:00,02:00,16:00,02:00,16:00,02:00,16:00,02:00,16:00,02:00,16:00,02:00,16:00,02:00,Yes,Yes,5,g-h3CKDJU51KlX79ErN1Xg,"With so many notable spots for fusion cuisine having popped up in the middle of the desert over the past few years, Japaneiro kicks the door down and slam dunks their excellent menu into the Asian fusion ring with authority. 

Like a lot of the gushing reviews already mention, the chalkboard specials by the entrance is where the gold is.  My advice would be to take a picture of it to look over with your tablemates so you're not like me and getting up to look over the board again and again as if it were on display at a museum.  

I can never say no to foie gras.  If foie gras told me to jump off a bridge, buy it diamond earrings or crash my car through a convenience store, I'd do it.  It was well cooked and those tasty notes of fatty tenderness in a savory sauce were music to my mouth.  I even showed some restraint by offering the last bite to my wife. :P

The Nigerian prawns tasted as impressive as they appeared.  Large and succulent, the truffle butter sauce that it was accompanied by took it to another level.  The green salad offered a nice balance to the whole dish.  I admit I sucked on the shrimp shells to savor the flavor and only felt 3.1% ashamed/embarrassed about it afterwards.  

Our meal luckily managed to carry over to the late happy hour that occurs M-F 10pm-midnight.  Ending the meal with some great small bites like the salmon/tuna/beef tacos and miso black cod lettuce wraps.  The standout was the rock shrimp with its terrifically crispy fry, micro wasabi kick and cream sauce made it an absolute steal for $5.50.  I guess that shows how good these chefs are; they even managed to make rock shrimp interesting!

The lack of description for many of the items caused me to underestimate things like the ""European Sea Bass"" until I saw it brought to another table near the end of our meal.  The fish looked marvelous with the meat being filleted post-grill and the rest of the carcass twisted up for an interesting look.  I was practically seething with jealousy!  

Lesson learned: everything is awesome and get that the next time."
QrRNFiSXmCo4pzVLAhA_bw,Kanji Steak and Sushi,Steakhouses|Sushi Bars|Japanese|Restaurants,4.5,36.0764726,-115.2985769,"6125 S Fort Apache Rd
Ste 200
Spring Valley
Las Vegas, NV 89148",2,Yes,16:00,22:30,16:00,22:30,16:00,22:30,16:00,22:30,16:00,22:30,16:00,22:30,16:00,22:30,Yes,Yes,5,GnGso4cOr8iz-WrwS8M_FA,"EDIT 12/2/2014: Chef Hong no longer works there.  Booooooo

I will definitely be a regular now that Chef Hong (ex-Moko) is bringing out his inventive dishes at Kanji.  The former Geisha House location comes off like an Epcot Center restaurant for Japanese food.  The multiple teppanyaki stations, large sushi bar, block wood furniture, full bar, high ceilings and bright lights are very welcoming.  The complimentary sake bomb (one of the best Yelp check-in offers currently) only enhance that feeling.  

Like an amazing movie sequel (very rare), all of Hong's beloved edible characters are here: beef short ribs, 30 hour pork belly, shrimp risotto, in-house smoked fish etc.  They're now being presented with some new and interesting twists from his original, wizardly recipes.  What stay consistent are the flavors, quality and creativity.  There are also some new plates like the excellent miso glazed Chilean seabass and 7 hour pork shoulder.  Seriously.....find me a local sushi joint that's pushing out entrees like these and I will wear a Britney Spears shirt for a week.  

They don't offer AYCE sushi, but the nigiri I've tried has been of excellent quality.  We were informed that they receive fresh shipments every two days which is pretty remarkable.  Kanji also offers a killer late night happy hour from 10pm-2am Monday through Saturday that I plan on checking out pretty soon."
r1YB-iVpNM8oP2eEqyaVbg,El Dorado Cantina,Bars|Mexican|Nightlife|Lounges|Restaurants,4.5,36.1350121,-115.1714295,"3025 Sammy Davis Jr. Dr
Las Vegas, NV 89109",2,Yes,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,Yes,Yes,5,F1wOTF18pAd-Qbg7crPZaQ,"El Dorado Cantina is one of my favorite new restaurants in town.  This definitely rivals Javier's at Aria for the ""high end"" Vegas Mexican cuisine market, but the prices are way more reasonable.  Chef Paco and his staff are churning out some really good stuff.  

Want a great way to spice up a weekday dinner?  How about doing as the Aztecs did back in the day (century) and start off with some grasshoppers?  Yes, sir!  EDC's ""chapulines"" can be prepared sautéed either in garlic lime or habanero.  For the uninitiated, the closest thing to compare them to would be crispy shrimp tails but juicier.  The habanero order offered terrific heat and not in a painful, shoot me in the face kind of way.  At $7.50, it was a large portion that could have easily satisfied a party of six.  Not for everyone by any means, my wife was literally one and done, but I enjoyed it and had plenty to take home (fried rice, anyone?).

""Imperial Shrimp"" was everything I look for in an appetizer: seafood stuffed Pacific wild shrimp wrapped in bacon and then lightly fried. The creamy heat (sounds gross, right?) from the chipotle ranch dressing that accompanied the dish was awesome.  More things in life should be wrapped in bacon!  I should start a national campaign.

We chose to split the humungous carne asada entrée.  The citrus marinated steak was medium rare perfection.  I loved the big slabs of grilled cactus that it came with.  We probably boxed up 70 percent of the plate.  Goddamn nachos and salsa....

You'd think that would prevent us from ordering dessert, but the flan and tres leches cake somehow made it to the table.  The latter was plated nicely and the rum flavor made me feel like I was on vacation.  It was a great end to the meal and I can't wait to try more."
-r_4cKz_A8tj_SkiOL50yQ,Moko Ramen Bar,Korean|Asian Fusion|Ramen|Japanese|Restaurants,4.5,36.1595762338123,-115.233089299461,"6350 W Charleston Blvd
Ste 120
Westside
Las Vegas, NV 89146",2,Yes,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,,,Yes,Yes,5,BQ594EAF9UtUei8Kxh3o6w,"I had three thoughts running through my head as my wife and I were walking out.

1. Outfuckingstanding!!
2. I am having this, this and this next time.
3. We better come back soon because popularity is inevitable and I am going to dread when I'll have to wait 30+ minutes for a table.  I'll do it though.  

Eating at the bar was great since we were able to chat with Woosuk aka Ryan aka the owner throughout our meal.  He handles everything with Moko except for the cooking.  That's left to Chef Hong who is a goooooodddddaaaamn culinary wizard!!  That guy is a total one man show coming in at 10am daily to prep all their amazing stuff for dinner when doors open at 5pm.    

Just discussing the effort and detail Hong goes into preparing plates like the delectable beef short rib (butchering the beef himself, select bones to cook with to enhance the flavor, 3+ hours of cooking etc) was inspiring.  A well presented dish, the beefy fattiness of the short rib accompanied by crispy garlic, gratin and amazing sauce was heavenly.    Christina Perri's ""A Thousand Years"" was playing while I savored it all and it seemed very fitting.  

It's not often that an Asian restaurant includes a spoon for their table setting but Ryan is smart enough to know the sauce for not only the short rib but others like their ""Black Bean Noodle"" will/need/must be scooped up out of the bowl.  It sure looks a lot more elegant than sticking my face into it.  Genius!   

They offer Berkshire pork belly cooked for either 10 or 30(!!!) hours.  Even though the 10 hour belly is tenderer, how could I pass up 20 more hours of cooking for $1 more?  It was like nothing I'd ever had before.  The soybean paste marinade with the kimchi crepe and their homemade black raspberry marinated salt (who does that???) was exceptional. 

The grilled then chilled eggplant salad with micro greens and tomato was refreshing and flavorful.  We also got an order of the fried soy chicken wings which was like modern soul food with the unique breading and honey glaze.  There was absolutely nothing left but bones.  

I entered Moko expecting a decent meal and left having an excellent one.  There's nothing quite like this in Vegas at the moment.  Go go go!!"
