id,name,categories,stars,latitude,longitude,full_address,price,reservation,hours_Monday_open,hours_Monday_close,hours_Tuesday_open,hours_Tuesday_close,hours_Wednesday_open,hours_Wednesday_close,hours_Thursday_open,hours_Thursday_close,hours_Friday_open,hours_Friday_close,hours_Saturday_open,hours_Saturday_close,hours_Sunday_open,hours_Sunday_close,parking,wifi,alpha_rating,rid,text
VttoTCACG8MRWrh3bnKyPg,The Vandal,Cafes|Sandwiches|Restaurants,4.0,40.4707671,-79.9599462,"4306 Butler St
Lawrenceville
Pittsburgh, PA 15201",2,No,,,,,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,14:00,No,Yes,5,hTmPjUq2t61QWWjnN_0oZg,"Dear Lord this place is good. Like really good. Like I want this in my life every day good. It's a simple menu of only a handful of choices, but I have no doubt every single item is delicious.

This is because my pork sandwich, with apple jam and a perfectly crisped kale chip on top was pure heaven. The side dish of green beans, ricotta, apple jam and egg was the perfect pairing. To top this off, I had the most delicious vanilla lemonade. 

One thing I will note is that this does not come cheap. The total was $22. Honestly, it was totally worth it. But if you're looking for a cheap lunch, this is not your place.

The decor is GORGEOUS too. It looks like that home decor magazine you subscribe to and want for your own. Exposed brick, herringbone hardwood floors, marble tables and exposed beams. 

That's it. I gotta go once a week to feed my craving!"
lKD5_XcBLzIX6QnSwobV5w,Station,Bars|Cocktail Bars|Nightlife|Gastropubs|American (New)|Restaurants,4.0,40.4611146,-79.9485427,"4744 Liberty Ave
Bloomfield
Pittsburgh, PA 15224",2,Yes,17:00,00:00,17:00,00:00,17:00,00:00,17:00,00:00,17:00,01:30,17:00,01:30,17:00,00:00,No,Yes,5,ep6Ouih1imxE-ov1TA5mjA,"This place is really like nothing Bloomfield has ever seen before, yet they really make you feel comfortable with a casual vibe, just like Bloomfield itself! The bar is beautiful and the drinks are a work of art, thanks to the master behind the bar. If you don't get a cocktail here, you're really missing out. The most inventive one I've seen is the Ruby Queen, beet juice at it's best, spiked! And my favorite so far, the Manhattan. 

It's really all about the seasonal produce and interesting ingredients to give a dish personality and flavor. The first time I came here I ordered the heirloom total salad, which was every bit as good as I'd hoped it would be, with some playful twists. The golden tomatoes dill and sweet corn mixed brilliantly together. And the fermented cherry tomatoes were such a great and unexpected element of an already awesome salad. 

For an entree I ordered the crispy chicken breast and leg. I NEVER order chicken in a restaurant because it always ends up dry, but I seriously trust that Chef Curtis will whip up something incredible here. I was not disappointed in the least. It was tender chicken, lightly breaded and not over-coated by any means. The bread portion came in the form of dirty bread pudding with a corn puree that I wanted to lick off my plate.

The second time again I ordered the Butter Poached Walleye. Every single item in this dish was drool-worthy. the walleye was excellent, the green beans and fingerling potatoes were a great accent but the saffron dumplings were the icing on this cake (don't even get me started on their popcorn panna cotta...soooo good!!!). 

I've actually only eaten in the bar area so far. First night was PACKED and admittedly a little too loud (am I old??). But my second time I hesitantly sat in the bar area again and the noise level was totally fine. I could hear everything my friends were saying... unless I was too busy stuffing my face.

I can't wait to keep coming back and seeing what rotates on the menu seasonally. I imagine each time will be just as good as the last, if not better! Get ye to Station, stat!"
diAEN3I9fXcZgNFpA5vz4g,täkō,American (New)|Mexican|Restaurants,4.5,40.4422814,-80.0020617,"214 6th St
Downtown
Pittsburgh, PA 15222",2,Yes,17:00,23:00,17:00,23:00,17:00,23:00,17:00,23:00,17:00,00:00,17:00,00:00,15:00,21:00,No,No,5,fgaAoNLfXO2fCkDbNhpuzg,"Well, they've done it again... did you think they wouldn't? They, being Richard Deshantz and Tolga Sevdik, owners of Meat and Potatoes and Butcher and the Rye. I'm not joking when I say they've got this down to a science. Cook awesome food, offer a hip environment, great cocktails and you win.

I've been there a handful of times already, always sitting at the bar. Why? Because their cocktails are killer, yes, but also because I never think to make a reservation, which you must do at least two weeks in advance (maybe even three if you want a weekend date). 

It's TINY, like really tiny! half the size of Butcher and maybe offering about 20 tables. So that's why you have to wait for a table and make a reservation. But TOTALLY worth it! The taco's aren't priced too bad, in my opinion. They're hardy and you get 2 for around $10ish. My fave so far... the mushroom taco. Sounds weird, but it was so delicious. The best way to experience a mushroom in my opinion. So good... I seriously dream about this taco! 

I've also had their gauc, which come in various forms that you can choose from. I went with the classic, and while it was good, it's a tiny portion for around $8. I probably scooped half the bowl on one chip, which is partly my fault! 

I'm excited to finally sit at a table soon, so watch out for a full dinner recap soon!"
TC-uA4FLhphfRwR1O-9y3A,Amazing Cafe,Gluten-Free|Cafes|Vegan|Restaurants,5.0,40.4286788,-79.9831142,"Amazing Yoga
1506 E Carson St
South Side
Pittsburgh, PA 15203",2,No,08:00,15:00,08:00,15:00,08:00,15:00,08:00,15:00,08:00,15:00,10:00,15:00,10:00,15:00,No,Yes,5,tAm0dEY_372a5WxsREvnUg,"I am amazed by Amazing Cafe. Okay, more like obsessed! Guys... This is the jam for healthy eats. Healthy eats that aren't bland. Healthy eats that are delicious in every bite! 

I've only been a couple times since discovering it, so I've only had a couple of items, but I'm convinced everything must be good! I've had their juices, which are delicious. I've had their smoothie, which was awesome (the chocolate one!) and I've had their Acai Bowl, which is my go to breakfast item. Plus, you can't beat their always friendly and warm staff.

I'd love to see this place open earlier for coffee/tea and a nice place to work and have meetings. They currently open at 11am, but have a full juice and espresso bar, so I'd only imagine (and hope) that it's a matter of time.

It's great to have a healthy obsession. Especially this one!"
Qf4HvDnEExJ-CCJqJobKeA,Crested Duck Charcuterie,American (New)|Restaurants,4.5,40.4103895,-80.0243631,"1603 Broadway Ave
Beechview
Pittsburgh, PA 15216",2,Yes,,,,,,,17:00,22:00,17:00,22:00,17:00,22:00,,,No,Yes,5,iZQT7Gb_3j6lZjIu6foFmA,"Now open for dinner service! I'm telling you people, get here, and get here FAST!

We pretty much sampled everything on the menu, but since it's small plates, you get a chance to taste a lot. And truly, that's the way to go here!

We started with the Cured Seafood plate with cold smoked tuna, beet cured salmon, shellfish sausage and a regular Charcuterie plate. The charcuterie was incredible as always, with the duck being my favorite choice. The Seafood plate was really different, with the sausage being my favorite flavors.

We split the:

Lamb Steak with sauteed greens, heirloom beans and balsamic
Smoked Duck with cornbread, hohirabi and radish slaw, strawberry bbq sauce
Chicken Meatballs with soy and ginger sauce, serrano, sesame, fresh egg yolk

I'm torn between the lamb and chicken meatballs being my favorite dish. The chicken meatballs were just perfect, moist and bursting with flavor. The lamb was cooked medium rare, which is the only way to have it, and the beans... those buttery tasting beans, complimented the dish so well! The duck and combination of strawberry BBQ sauce may have been my third fave. But it's hard to rank them when they're all really fabulous! 

Chocolate Pot de Creme just finished off the meal perfectly. Not only does Chef Kevin cure meats well, but he also makes incredible chocolate dishes! I've had the chocolate cake before and and it matched the amazingly chocolate goodness of this one. And this is coming from someone who's not even a choco-aholic! 

It's BYOB, so bring a bottle and enjoy one of the best meals in the Burgh!"
UXlGymo9AduQcq-Q-H16og,Sienna Mercato,Restaurants|Pizza|Italian,4.0,40.4439496,-79.9964366,"942 Penn Ave
Downtown
Pittsburgh, PA 15222",2,No,11:00,22:00,11:00,22:00,11:00,00:00,11:00,00:00,11:00,00:00,11:00,00:00,11:00,22:00,No,Yes,5,PAwfXtp8wf_wsR_98dbVgg,"For a new restaurant I'm very impressed! I'm such a sucker for a place that has a theme that carries throughout. They obviously put a lot of thought behind how they wanted the place to look and feel. It looked like a lot of the wood was reclaimed from barns, you know, that kinda hip look right now? Are they calling it barn chic? Who knows... but I do know the food was gooooood!

I'm way into cream sodas and was so excited to see them, plus you can spike it with vodka... DONE! It was delicious too, with the seasonal flavor being pecan. The only thing wrong was that it went too fast... my bad!

We started off with the warm olives and mozzarella, which was good and made me want more! The crab balls were good and I think if you're really into crab, this will probably be your jam. The poutine was the only thing that was so so. The fries were legit fresh cut, but the gravy sank all the way to the bottom and wasn't very plentiful and the curds weren't very melty. This was probably the one item that was just okay. But I kept eating, so you know it was fine!

I wanted to get just the saucy balls aka 4 meatballs. But I thought you could choose different balls and sauces (this sounds so dirty... but how can I not make this sound dirty??). But you can't do that. No ball switching allowed! SO I went with the sliders instead because you're allowed to pick your balls freely...

I got the:

Meatball Sliders were $3.50 each
Classic beef with Sunday Gravy
Spicy Pork with arribiatta 
Chicken with creamy parmesan

The best by far was the chicken with parm. I really thought I would have been down with the regular classic beef, but man was that chicken ball good! With the creamy parm it just paired amazingly. The Spicy Pork was my second fave, with a spicy arribiatta sauce to go with it. The Classic was still good, but the others just blew it out of the water!

The service was super friendly, and I was surprised to see it so dead, but it was a Saturday afternoon with not much going on downtown (other than a weird anime conference at the convention center). I will note that I loved their serveware! Stainless steel deep bowls with handles. It made serving and eating easier. I know that's a weird thing to notice, but I loved them and kinda want them for my kitchen now. Don't worry, I won't steal them..."
J439P_mDAosvQb59liLkLA,Lola Bistro,American (New)|Restaurants,4.0,40.453668,-80.01689,"1100 Galveston Ave
North Side
Pittsburgh, PA 15233",2,Yes,,,,,17:00,21:00,17:00,21:00,17:00,22:00,17:00,22:00,16:00,21:00,No,Yes,5,nx4dn2k1zkgW1J7bAPpDPg,"I want you all to know the glorious FIVE STAR experience I just had here the other night! Could this be one of thee most underrated restaurants in Pittsburgh? It just might be, so please get here and get ready to be blown away because it really blows up and you end up not getting a reservation!

It's little unassuming corner joint, but when you walk through the door you're pleasantly surprised by the calm atmosphere. The aesthetic was very clean, with glowing tea lights and cream shades covering the windows. The service was just impeccable too, as our waitress was friendly and open to us asking questions about the menu.
 
We started off with one of their specials, the Mackerel Mousse with homemade pepper crackers. I was a little nervous having not tried something like this before, but since I'd read past reviews that said to get it, I trusted my fellow Yelpers! Good thing I did, because it was incredible! The mackerel was a perfect whipped sensation, sprinkled with some bright orange caviar. But, let's talk about the homemade pepper crackers... That tasted more like shortbread cookies. Man were they good, and our waitress kept bringing us more! It was a treat that I never wanted to end, even at the beginning of our meal!

I took a quick glance at the top of the menu, which advertised the bistro as ""American comfort food."" Let me tell you, it's comforting to know that you'll be 100% satisfied leaving here! The menu is small but it was one of those times were everything looked enticing. 

My mind was made up pretty fast, as I zeroed in on the Noodle bowl. It had Beef/lamb meatballs, pho broth, cilantro and coconut noodles, shiitake and kimchi for $22. Let me tell you, the flavor of the broth, the homemade coconut noodles and the meatballs, the most amazing meatballs, made for one incredible dish. This meal just rocked my pho loving world!

And it didn't stop there! We just had to go for a delicious homemade dessert. The layered Russian cake was devine, with a honey cream layered between soft cake. The server talked it up, but didn't do it justice until you took a bite. And, she had made it herself that day... Adorable, right? 

I'm just so won over... Seriously, go here, and go here now! I cannot wait to come back and share this hidden gem with the masses."
rcCGdKxMPJk4lCzZZ1i_bA,Gaucho Parrilla Argentina,Argentine|Restaurants,4.5,40.449077,-79.987519,"1607 Penn Ave
Strip District
Pittsburgh, PA 15222",2,No,,,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,,,No,No,5,n5GXgRXQsVj4RI8B094Itw,"The hype is real folks. Read this review and get thee to Gaucho if you have not been there yet! Seriously. Don't wait. Do it!

I split the Rosemary Braised Beef and the Carne Steak sandwich with a friend. GREAT idea because it was the best of both worlds! While I enjoyed the Rosemary Braised beef more, because I love horseradish and caramelized onions, the Carne Steak was just as good! The steak was so flavorful you didn't need anything else... 

Unless, you're into sauces like I am! I love sauce! They had four different kids of sauce on the table in the middle of the place. I wish I could tell you what every kind was, but all I know is that they were delicious! I just wanted to steal them and put them on everything I eat all the time! 

It's s small place, so beware you may have to do take out, but don't fear, they're looking to expand shortly and will hopefully offer dinner service and more!! So get thee to Gaucho ASAP!"
bUmnZJ1DjtDP2_qb2M62mg,E2,Restaurants|Italian,4.0,40.475437,-79.919706,"5904 Bryant St
Highland Park
Pittsburgh, PA 15206",2,Yes,,,17:00,22:00,17:00,22:00,17:00,22:00,17:00,22:00,18:00,22:00,09:00,14:00,No,No,5,rfOpc75wN9_Ut7DuNMXY8g,"OMG! Seriously, brilliant name for a bunch of doughnuts. But not just any doughnuts. Delicious little bites of heaven! They rotate, so for this visit I was able to try the cinnamon sugar zeppolli and orange coconut. Both were fantastic, with the cinnamon being the best of both. 

Next up was the main meal. I don't know how I could possibly decide, as everything up on the chalkboard menu looked tantalizing. I'm always wary of ordering anything other than pancakes or french toast for brunch, because it's usually always a good thing (and my fave brunch items), but the hash just looked too good to pass up. Especially a hash with brussells and bacon. So I went for it.

And guess what? It was stellar! Probably the best non-pancake/french toast brunch I've ever enjoyed. EVER! It was mixed with onions, peppers and packed with flavor. With two massive eggs over easy and a delicious toasted piece of bread, I was trying not to lick the plate. 

Everything was so stellar that I'm looking forward to my next visit. I want everything there! Completely lived up to the hype and I want more!"
14JrDlEb7SMK_ZHrS80lFA,The Pub Chip Shop,Bakeries|Food|Fish & Chips|Restaurants,4.5,40.428426,-79.979395,"1830 E Carson St
South Side
Pittsburgh, PA 15203",1,No,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,02:00,11:00,02:00,11:00,22:00,No,No,5,zMYMWmOE9wEWiNBXxBK-5A,"Sweet baby Jesus was I sinfully gluttonous today! But it was well worth it for all the tasty morsels of food I devoured! 

I have been waiting and waiting and waiting for this to open and the day has finally come... AND YUM! I love me some fish n chips and this hits the spot. It's not across the pond (well maybe a river or two), but right here in good ole Pittsburgh. You may get great fried fish during Lent around these parts, but now it's year round here!

I had to go with the classic order for my first time. The fish was undoubtedly fresh and the deep fry was crisp and surprisingly not greasy in the least. I really enjoyed the fries too. You know those fries you kill for? The ones that are so crispy and perfect, you almost don't need to dip them in ketchup? Almost. These are them, yo! I had a couple bites of the mac n' cheese as well. Love the big noodles, but it could have been a little bit creamier. 

But I didn't stop there! Remember, gluttonous? So I tried the oatmeal toffee chocolate chip ice cream sandwich. Do I even need to say how amazing it was? And with freshly baked cookies? AND ICE CREAM. 

And the apple pie tasted straight outta yo momma's oven. We got crafty and scraped half the ice cream off the cookie and made ourselves an a la mode pie. Desperate fat kid times, you know? The fried mars bar was a warm melty fried mars bar. Was it delicious? Yes. But the other desserts are just made with homemade goodness, they'd be hard to avoid!

Yep, this all happened. You read it here first. I wasn't hungry until 9pm that night. When I ate an apple. Which was boring and lame."
